Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Start] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Start] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Administrator] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Start menu] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [87% complete] | PID: 5636 | ProcName: explorer.exe
Window Title: [rAthena GPT - GarudaHS Anti Cheat Tutorial] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [DesktopWindowXamlSource] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 216 | ProcName: ChatGPT.exe
Window Title: [] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [] | PID: 4512 | ProcName: ChatGPT.exe
Window Title: [] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [] | PID: 9264 | ProcName: ChatGPT.exe
Window Title: [GDI+ Window (VCTIP.EXE)] | PID: 11568 | ProcName: vctip.exe
Window Title: [.NET-BroadcastEventWindow.4.0.0.0.1400c58.0] | PID: 11568 | ProcName: vctip.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [IDM drop target. Drop web-links for downloading here] | PID: 4748 | ProcName: IDMan.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [DesktopWindowXamlSource] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5052 | ProcName: svchost.exe
Window Title: [TGitCacheWindow] | PID: 9524 | ProcName: TGitCache.exe
Window Title: [] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [] | PID: 1920 | ProcName: SystemSettings.exe
Window Title: [] | PID: 1920 | ProcName: SystemSettings.exe
Window Title: [Settings] | PID: 1920 | ProcName: SystemSettings.exe
Window Title: [Settings] | PID: 8072 | ProcName: ApplicationFrameHost.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [DesktopWindowXamlSource] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Avast Free Antivirus] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [] | PID: 4748 | ProcName: IDMan.exe
Window Title: [] | PID: 4748 | ProcName: IDMan.exe
Window Title: [] | PID: 4748 | ProcName: IDMan.exe
Window Title: [Internet Download Manager 6.42] | PID: 4748 | ProcName: IDMan.exe
Window Title: [] | PID: 4748 | ProcName: IDMan.exe
Window Title: [DDE Server Window] | PID: 4748 | ProcName: IDMan.exe
Window Title: [Windows Input Experience] | PID: 7504 | ProcName: TextInputHost.exe
Window Title: [CAvastTrayIcon] | PID: 7400 | ProcName: AvastUI.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5316 | ProcName: RuntimeBroker.exe
Window Title: [] | PID: 6552 | ProcName: SecurityHealthSystray.exe
Window Title: [SecurityHealthSystray] | PID: 6552 | ProcName: SecurityHealthSystray.exe
Window Title: [NvSvc] | PID: 2148 | ProcName: 
Window Title: [MS_WebcheckMonitor] | PID: 5636 | ProcName: explorer.exe
Window Title: [UxdService] | PID: 2148 | ProcName: 
Window Title: [BluetoothNotificationAreaIconWindowClass] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [Battery Meter] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [DDE Server Window] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
Window Title: [] | PID: 5636 | ProcName: explorer.exe
